competition_name,competition_date,competition_location,competition_nation_host,athlete_sex,competition_age_category,competition_url,weight_class,competition_standing,athlete_name,nation,club,bodyweight_kg,competition_group,snatch_1,snatch_1_result,snatch_2,snatch_2_result,snatch_3,snatch_3_result,clean_jerk_1,clean_jerk_1_result,clean_jerk_2,clean_jerk_2_result,clean_jerk_3,clean_jerk_3_result,total_kg,sinclair
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,11,Li Wenlong,CHN,,108.34,B,165.0,s,170.0,s,175.0,s,200.0,s,205.0,u,205.0,u,375.0,416.9
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,12,Viera Espinosa Hernan Moises,PER,,109.00,B,155.0,s,160.0,u,160.0,s,210.0,u,210.0,s,216.0,u,370.0,410.4
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,13,Saadi Monroy Karim Alejandro,MEX,,108.26,C,157.0,s,162.0,s,166.0,s,194.0,s,200.0,s,203.0,s,369.0,410.3
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,14,Alkhazal Ali Ahmed,KSA,,107.72,C,164.0,s,169.0,s,172.0,u,190.0,s,199.0,s,205.0,u,368.0,409.9
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,15,Medina Alejandro,USA,,109.00,C,166.0,s,172.0,s,178.0,u,194.0,u,195.0,s,200.0,u,367.0,407.1
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,16,Rainibogi Taniela Tuisuva,FIJ,,108.36,B,163.0,s,168.0,u,173.0,u,200.0,u,200.0,s,205.0,u,363.0,403.5
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,17,Bregvadze  Longinoz,GEO,,108.08,C,164.0,s,168.0,s,173.0,u,193.0,u,193.0,u,194.0,s,362.0,402.8
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,18,Petrosyan Petros,ARM,,109.00,B,155.0,s,162.0,u,162.0,u,205.0,u,205.0,u,205.0,s,360.0,399.3
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,19,Seo Hui-Yeop,KOR,,108.90,C,163.0,u,163.0,s,167.0,u,194.0,s,200.0,u,200.0,u,357.0,396.1
89 th World Championships,2024-12-06,Manama,BRN,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2788,55 kg,20,Meiram Sultan,KAZ,,108.94,C,152.0,s,157.0,s,161.0,s,193.0,s,201.0,u,201.0,u,354.0,392.7
